metric,type,alignment,rmse,mean,median,std,max
ATE,translation(m),sim3,0.5203916308671301,0.4618322281737605,0.4295849415940993,0.2398300283463501,1.131150223948713
RPE-t,translation(m),sim3,0.912774582571727,0.7574154576131396,0.6362536746070694,0.50939107094419,2.5389079403796306
RPE-r,rotation(deg),sim3,1.6556952040453172,1.094398551548969,0.6603950982632212,1.2424244118119154,8.273622876207968
