metric,type,rmse,mean,median,std,max
ATE,translation(m),73.17031880071534,65.470401022988,58.968587444631,32.672957369779816,135.23670608154998
RPE-t,translation(m),1.3143045200551808,1.0610679356469743,1.0644497567305664,0.7755844295622161,3.2284284797959963
RPE-r,rotation(deg),1.3753775427465325,0.7777631248609435,0.3768753038579401,1.134349111472315,9.290070043144285
