metric,type,alignment,rmse,mean,median,std,max
ATE,translation(m),sim3,0.7179512460269633,0.6271550277703848,0.6170535966576536,0.3494718340782231,1.571428518160248
RPE-t,translation(m),sim3,1.3795570181665064,1.194239925566968,1.0897160460064645,0.6906291092578307,3.1964584234816904
RPE-r,rotation(deg),sim3,2.258081773338368,1.6145156718910916,1.0321869124916003,1.5786932698599199,9.96064853245074
