metric,type,rmse,mean,median,std,max
ATE,translation(m),0.5949994298527459,0.5282695927233909,0.47797696421036073,0.27378012880586383,1.3919960254300923
RPE-t,translation(m),0.917697689262758,0.8233203308939399,0.7183583662597459,0.40535500689506593,2.630435893454117
RPE-r,rotation(deg),1.6652403631806456,1.0983820080115296,0.658505658769386,1.2516319074083118,8.392901972321791
