metric,type,rmse,mean,median,std,max
ATE,translation(m),66.89454412300586,57.32673701309742,61.004044370894206,34.474994660709434,138.37362588831593
RPE-t,translation(m),0.8963995079211969,0.687209684041318,0.6801157234291537,0.5755648772824797,2.3460838889746936
RPE-r,rotation(deg),0.8900070570834496,0.4646649699050345,0.18155852992143004,0.7590777479293516,5.75680552293855
