metric,type,alignment,rmse,mean,median,std,max
ATE,translation(m),sim3,749.0955351879562,694.300014550532,708.1200798255938,281.2323072366714,1436.7700043912907
RPE-t,translation(m),sim3,0.9576806130520956,0.8347632025822015,0.8747120754545094,0.46938529187709366,1.9051353381495342
RPE-r,rotation(deg),sim3,0.5545492027013101,0.3645019102670566,0.23465638878934975,0.41792723724151487,3.808758575217366
