metric,type,alignment,rmse,mean,median,std,max
ATE,translation(m),sim3,6.899754628233946,5.92669805423127,4.417187748700326,3.5328266450261974,15.971363327784832
RPE-t,translation(m),sim3,1.6542153364334298,1.3010570688687082,1.015836021973827,1.0216060311285995,8.684615631071244
RPE-r,rotation(deg),sim3,1.1874932137559744,0.793548242307881,0.6100320388372666,0.8834145798245379,5.962956151680123
